# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma,g_psfflux_mag,g_psfflux_magsigma,r_psfflux_mag,r_psfflux_magsigma,i_psfflux_mag,i_psfflux_magsigma,object_id,g_psfflux_flag,r_psfflux_flag,i_psfflux_flag,g_cmodel_flag,r_cmodel_flag,i_cmodel_flag,g_pixelflags_edge,r_pixelflags_edge,i_pixelflags_edge,g_pixelflags_bad,r_pixelflags_bad,i_pixelflags_bad,g_pixelflags_interpolatedcenter,r_pixelflags_interpolatedcenter,i_pixelflags_interpolatedcenter,g_pixelflags_saturatedcenter,r_pixelflags_saturatedcenter,i_pixelflags_saturatedcenter,g_pixelflags_crcenter,r_pixelflags_crcenter,i_pixelflags_crcenter
212.56401853415628,-0.23858628453330732,19.7381897,0.000868180534,19.4563618,0.000696836389,18.9974575,0.000502632698,19.7454185,0.00085381727,19.4658737,0.000692192523,19.013422,0.000500616967,41205327827330283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
222.50977728430593,42.2514542099279,19.4064369,0.00104548188,19.0048256,0.000839092827,18.8106937,0.00107176532,19.4069405,0.00101343938,19.0077171,0.00082260312,18.8145657,0.00106469169,69577795885356201,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35.75174756612907,0.8805854072843277,18.6799774,0.000539236818,18.4976368,0.000618805003,,,18.6819305,0.000528577715,18.5162544,0.0006186635,,,41751089321627939,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
136.2209171652822,1.0916208094817565,18.6077461,0.00056672853,18.3126488,0.000577856496,18.3828545,0.000396425836,18.6073933,0.00056494883,18.3136101,0.000569827156,18.38591,0.000393476425,42050298218309928,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138.15686899625854,-0.4549129216390254,19.5817261,0.00104350271,19.4453545,0.0013192367,19.0907612,0.000692553644,19.5775986,0.00102415204,19.4402046,0.00123767171,19.0948658,0.00068689452,40985696084708654,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138.92753967544712,5.534082550062553,19.7076111,0.00203877571,19.5229149,0.00217840448,nan,nan,19.7252083,0.00205180701,19.5294456,0.00217034388,nan,nan,45251663761512136,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
139.76833462101234,1.0417919549468093,18.9424038,0.000554240134,18.638195,0.00056698476,18.4695549,0.000527518743,18.9428635,0.000549784338,18.643404,0.000559220789,18.4903679,0.000337024743,42058681994465682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
145.19930264885352,-1.232735350145365,18.7535248,0.00070872379,18.6486301,0.000611292606,18.4945564,0.000878905063,18.7557716,0.000711157219,18.6530495,0.000607183902,18.4148579,0.000714774709,41007939720348541,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
175.2534949899252,-0.31575914635975116,19.6464729,0.000759207935,19.2700577,0.000800152484,19.0625153,0.000505277771,19.649044,0.000728594663,19.2671127,0.000735680806,19.0637093,0.00050191686,41095647247500146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180.42911469613412,0.8235972236615549,18.1006813,0.000417051429,nan,nan,nan,nan,18.0965061,0.000413268368,18.0761299,0.000787586032,17.9363518,0.000767521386,42182505901624717,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
